Bin center;Hist 1;Hist 2;Hist 3;Hist 4;Hist 5;Hist 6;Hist 7;Hist 8;Hist 9;Hist 10;Hist 11;Hist 12;Hist 13;Hist 14;Hist 15;Hist 16;Hist 17;Hist 18;Hist 19;Hist 20;Hist 21;Hist 22;Hist 23;Hist 24;Hist 25;Hist 26;Hist 27;Hist 28;Hist 29;Hist 30;Hist 31;Hist 32;Hist 33;Hist 34;Hist 35;Hist 36;Hist 37;Hist 38;Hist 39;Hist 40;Hist 41;Hist 42;Hist 43;Hist 44;Hist 45;Hist 46;Hist 47;Hist 48;Hist 49;Hist 50;Hist 51;Hist 52;Hist 53;Hist 54;Hist 55;Hist 56;Hist 57;Hist 58;Hist 59;Hist 60;Hist 61;Hist 62;Hist 63;Hist 64;Hist 65;Hist 66;Hist 67;Hist 68;Hist 69;Hist 70
0.5;10048;10009;10588;5876;29867;37820;11885;308;395;465;19783;49408;18921;12873;0;0;0;0;494;2507;763;736;0;0;0;248;0;0;0;0;21204;0;76277;0;0;893;3450;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;406;1350;16601;19298;0;0;0;0;0;0;0;0;0;12055;9165;0;0;32434
1.5;10048;10009;10563;5876;29756;35189;11842;561;615;797;19561;48502;18821;12801;0;0;0;0;1059;4297;2291;1718;0;0;7461;1091;0;0;0;0;21062;4353;76277;0;0;1489;3971;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1777;1751;16435;11134;0;0;0;0;0;0;0;0;0;12531;9217;0;0;32511
2.5;10048;10009;10538;5876;29756;30804;11587;758;791;1063;19363;47499;18739;12801;0;0;0;0;1271;5372;3245;2823;0;0;13009;2530;0;0;0;0;20968;4726;76277;0;0;2025;4491;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3351;1851;16294;9702;0;0;0;0;0;0;0;0;0;12848;9217;0;0;32481
3.5;9977;10009;10538;5876;29756;20828;10863;954;835;1528;19279;46353;18739;12764;0;0;0;0;1624;6805;4295;4541;0;0;19514;4018;0;0;0;0;20937;5037;76539;0;0;2800;5012;0;0;0;0;0;0;0;0;0;0;0;263;0;0;0;5991;1951;16106;8879;0;0;0;0;0;0;0;0;0;13324;9295;0;0;32388
4.5;9977;9985;10538;5876;29672;8660;8094;1207;1099;1926;19137;44992;18658;12746;0;0;0;0;1907;7521;5059;6382;0;0;26784;5605;0;0;0;0;20905;5659;76520;0;0;3992;5533;0;0;0;0;0;0;0;0;0;0;0;1099;0;0;0;8987;2151;15894;8055;0;0;0;0;0;0;0;0;0;13642;9321;0;0;32388
5.5;9977;9937;10538;5876;29503;3398;6347;1375;1231;2126;18939;43487;18604;12709;0;0;0;0;2543;8954;5632;8469;0;0;33288;7044;0;0;0;0;20780;6405;76520;0;0;5362;6054;0;0;0;0;0;0;0;0;0;0;0;2417;0;0;0;12389;2251;15659;7303;0;0;0;0;0;0;0;0;0;14276;9321;0;0;32388
6.5;10001;9937;10538;5835;29166;767;6219;1516;1363;2192;18742;41839;18549;12709;0;0;0;0;2896;10386;6300;10678;0;0;43237;9574;0;0;0;0;20623;7587;75182;0;0;6912;6705;0;0;0;0;0;0;0;0;0;0;0;3648;0;0;0;15740;2351;15424;6623;0;0;0;0;0;0;0;0;0;14752;9372;0;0;32342
7.5;10001;9985;10363;5835;28660;0;6177;1712;1495;2325;18487;40406;18495;12672;0;0;0;0;3391;11103;7159;13133;0;0;51846;12204;0;0;0;0;20435;8831;71532;0;0;9057;7486;0;0;0;0;0;0;0;0;0;0;0;4703;0;0;0;18939;2501;15165;6122;0;0;0;0;0;0;0;0;0;15228;9424;0;0;32342
8.5;10001;9985;10264;5835;27817;0;6177;1853;1583;2325;18289;38759;18468;12653;0;0;0;0;3744;11819;7732;15220;0;0;61029;14883;0;0;0;0;20152;10572;66058;0;0;11560;8137;0;0;0;0;0;0;0;0;0;0;0;5451;0;0;0;21834;2701;14883;5764;0;0;0;0;0;0;0;0;0;15862;9476;0;0;32249
9.5;10001;9985;10089;5835;26974;0;6560;2021;1715;2591;17978;36681;18386;12653;0;0;0;0;4026;12893;8496;17061;0;0;69094;17016;0;0;0;134778;19775;12252;53163;0;0;14420;8788;0;0;1611;0;0;0;0;0;0;0;0;6066;0;0;0;24525;2701;14648;5406;0;0;0;0;0;0;0;0;0;16656;9502;0;4673;32109
